Datum,Month,TotalRevenue,PageviewsAlexa, pageeCPM,USDeCPM,Adsense,OpenX,OtherAdNetw,Outbr,ADX,MobPV,TotalMobile,MobeCPM,MobAdsense,MobOpenX,MobOtherAd,MobOutB,ADXm,AdSnsDesktop,AdSnsMobile,AdSnsRadio,USDesktop,USDBC,USDMobile,MobileExpo9 ,TotalExpo9,MobileOutbrain,TotalOutbrain,TotalSwitchAds,TotalConv,USDEURO
Thu    10/Mar/16,Mar-16,3513.20,3021000.00,1.16,1.28,1018.54,1004.84,268.33,703.00,518.48,1647000.00,1301.28,0.79,376.00,236.28,139.00,430.00,120.00,396.00,376.00,324.00,844.22,0.00,259.54,65.00,190.00,430.00,703.00,17.07,0.00,0.91
Fri    11/Mar/16,Mar-16,3761.55,3003000.00,1.25,1.38,1046.05,1207.21,267.78,776.46,464.04,1652000.00,1473.68,0.89,439.04,266.89,126.75,521.00,120.00,404.00,439.04,194.00,1036.77,0.00,294.27,52.00,184.00,521.00,776.46,23.50,0.00,0.91
Sat    12/Mar/16,Mar-16,3141.39,2362000.00,1.33,1.48,896.65,948.68,172.34,776.46,347.27,1458000.00,1321.03,0.91,357.00,244.33,98.70,511.00,110.00,317.00,357.00,180.00,785.62,0.00,272.52,38.00,104.50,511.00,776.46,15.63,0.00,0.90
Sun    13/Mar/16,Mar-16,3012.98,2361000.00,1.28,1.42,865.82,921.18,190.17,662.81,373.00,1468000.00,1304.61,0.89,384.00,261.08,97.54,452.00,110.00,307.00,384.00,147.00,736.27,0.00,291.20,38.00,125.00,452.00,662.81,16.32,0.00,0.90
Mon    14/Mar/16,Mar-16,3889.58,3210000.00,1.21,1.34,1065.46,1280.20,268.45,806.46,469.01,1770000.00,1400.43,0.79,414.00,306.39,122.03,438.00,120.00,437.00,414.00,201.00,1073.69,0.00,337.82,59.00,204.44,438.00,806.46,16.00,0.00,0.91
Tue    15/Mar/16,Mar-16,3637.14,2948000.00,1.23,1.37,995.47,1169.42,241.39,770.22,460.63,1696000.00,1421.87,0.84,408.00,289.54,122.33,482.00,120.00,395.00,408.00,180.00,979.43,0.00,322.30,57.00,173.16,482.00,770.22,16.37,0.00,0.90
Wed    16/Mar/16,Mar-16,3611.43,2939000.00,1.23,1.37,1019.06,1138.46,252.39,768.42,433.11,1574000.00,1453.95,0.92,408.00,290.27,128.69,507.00,120.00,403.00,408.00,192.00,942.40,0.00,322.51,59.00,177.06,507.00,768.42,19.38,0.00,0.90
Thu    17/Mar/16,Mar-16,3708.16,3004000.00,1.23,1.37,1152.98,1148.02,232.30,713.16,461.70,1668000.00,1417.94,0.85,446.00,297.36,118.85,435.73,120.00,455.00,446.00,239.00,944.80,0.00,330.27,50.00,160.00,435.73,713.16,16.01,0.00,0.90
Fri    18/Mar/16,Mar-16,3521.74,2949000.00,1.19,1.39,1078.92,1043.60,293.45,688.69,417.08,1527000.00,1382.99,0.91,419.00,265.17,162.82,416.00,120.00,444.00,419.00,187.00,908.05,0.00,309.32,50.00,142.36,416.00,688.69,60.02,0.00,0.86
Sat    19/Mar/16,Mar-16,3015.08,2320000.00,1.30,1.47,966.00,934.93,213.07,568.38,332.70,1465000.00,1316.86,0.90,423.00,263.52,122.34,398.00,110.00,348.00,423.00,183.00,758.40,0.00,297.66,47.00,105.87,398.00,568.38,43.62,0.00,0.89
